"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met468",0.4941,0.9349,0.8035,0.9845,0.9228,0.7537,1.362,0.6637,1.2682,0.8846,0.4941,1.249,1.1256,0.6354,1.344,1.5261,1.525,1.0155,0.8484,0.4941,0.4941,0.8455,2.2091,0.8578
"met469",1.074,0.893,0.8759,2.9624,1.0758,1.1045,0.5842,1.3895,1.1906,0.9758,0.9861,3.1429,0.9895,1.112,0.5102,1.2728,1.0571,1.0142,0.852,2.9723,1.0044,1.1691,0.7749,1.3251
"met470",1.0379,0.7073,0.8303,0.7563,0.7741,1.0322,1.01,1.0137,1.0838,0.8675,0.9529,0.7588,0.7066,1.0774,0.8524,0.99,0.9757,0.7464,0.7342,0.7468,0.7734,1.0879,1.0399,1.0734
"met471",0.9635,0.6373,0.7611,0.6772,0.56,0.9798,1.3298,1.2059,1.6401,0.7392,0.6935,0.8345,0.5632,1.0941,1.187,0.9906,1.0699,0.7344,0.6977,0.7594,0.5717,1.0095,1.4676,1.0978
"met472",0.7413,1.1664,1.1874,0.6697,0.8943,0.8997,1.0308,1.073,0.8274,1.2368,1.2913,0.8262,0.9101,0.9692,0.8107,0.933,1.0768,1.2916,1.3026,0.7193,0.8719,1.1161,1.1729,0.9059
"met473",1.2013,0.6097,1.4841,0.7352,0.8118,0.7318,0.8735,1.5416,2.0041,1.0346,0.907,1.3098,0.835,1.5088,1.2735,1.5996,0.99,0.4627,0.9089,0.7743,0.4939,0.8674,1.0564,1.0902
"met474",0.7763,1.0364,0.992,1.1216,1.1154,0.99,1.187,0.7288,0.7632,1.0162,0.9417,1.1037,1.127,1.0234,1.1164,0.6924,0.7579,1.09,0.9472,1.1232,1.0673,1.008,1.182,0.7028
"met475",0.7867,0.8818,1.114,1.1846,0.9951,1.4908,1.5502,0.824,0.8136,0.8381,1.0955,1.1628,1.0049,1.5848,1.4704,0.7773,0.7934,0.9034,1.1071,1.1682,1.0401,1.462,1.3812,0.7714
"met476",0.6789,1.1911,1.1822,1.3026,1.1752,0.8318,1.0624,0.9031,0.6985,1.1946,1.1618,1.3328,1.1793,0.8772,1.0158,0.8835,0.6604,1.154,1.0826,1.2634,1.155,0.8588,0.9842,0.8445
"met477",0.9223,0.7767,1.2499,1.0414,1.1542,1.3878,1.0363,0.8318,0.6705,0.7283,1.2343,1.1274,1.2662,1.4353,0.9977,1.0079,1,0.8346,0.7934,1.265,1.1466,1.3859,0.8408,1.0777
"met478",0.166,0.166,0.166,0.166,0.166,0.2599,0.166,1,0.166,0.166,0.166,0.166,0.166,0.2448,0.166,0.7027,0.166,0.166,0.166,0.166,0.166,0.2253,0.166,1.5804
"met479",1.8873,0.4612,1.1623,0.8284,1.8738,2.7241,0.3553,1.4394,4.2593,0.8918,0.9219,0.8559,1.7039,2.6587,0.3992,1.7711,3.2049,1.0115,0.9885,0.4113,0.2478,2.2298,1.184,1.2281
"met480",0.9991,0.6914,0.8692,0.8287,0.713,0.9606,1.2376,1.0584,1.3736,0.7973,0.7876,0.9177,0.7666,1.2644,1.2848,0.9262,1.0284,0.7509,0.7657,0.8046,0.6696,1.1296,1.2792,1.0009
"met481",1.4962,0.9388,0.8212,0.9594,1.0762,0.7557,1.1943,1.2741,1.3023,0.9031,1.0152,1.1685,0.9475,0.8756,1.0323,0.7941,1.2563,0.8058,0.7129,1.2196,1.4122,0.9848,1.0307,1.0789
"met482",0.9739,0.8059,0.7275,0.981,0.8438,2.3293,4.5587,0.6162,1.1901,0.9459,0.8646,1.0708,0.8034,2.2144,3.6314,0.5631,1.019,0.8345,0.4634,0.6693,0.9789,2.2439,4.5048,0.5536
"met483",1.177,0.6155,0.5814,0.6484,0.7829,1.8485,2.7474,0.5545,0.6323,0.5516,0.5249,0.654,0.452,2.5703,3.0967,0.4542,0.6963,0.4161,1.5141,1.0377,0.9623,1.5499,2.6132,0.3144
"met484",1.0049,0.8514,0.8449,1.0393,1.5441,1.1,0.7728,1.1506,1.4374,1.0148,0.7917,1.2746,1.5258,1.0158,0.7627,1.2627,1.0671,1.0359,1.0773,0.9951,0.9003,0.924,0.995,1.0847
"met485",1.2961,0.6376,0.7179,0.9868,0.6714,0.8044,1.3161,1.0873,1.8717,0.76,0.8523,1.0978,0.6698,0.9987,0.9761,0.9464,1.018,0.9081,0.6435,0.6888,0.9739,1.0748,1.1458,1.0013
"met486",1.3312,0.7457,0.5998,0.7329,0.5762,1.1104,1.206,1.3978,1.6021,0.8682,0.6289,0.8654,0.5524,1.0986,1.0055,1.258,1.2229,0.8418,0.5369,0.6798,0.7862,0.9947,1.0054,1.171
"met487",0.4915,1.4311,1.2277,0.8046,0.6794,0.8829,1.979,0.7066,0.5097,1.5748,1.345,0.9878,0.6873,0.9558,1.8462,0.6303,0.6173,1.6006,1.0961,0.7714,0.6365,1.0122,1.4004,0.7512
"met488",0.7021,1.5716,1.3294,0.9752,0.5993,0.4743,0.823,0.9943,0.7179,1.6109,1.3227,1.1272,0.5908,0.5812,0.702,0.9889,0.9273,1.5678,1.3537,1.0057,0.549,0.6765,0.6406,1.0252
"met489",0.5548,1.1017,1.049,0.6602,0.6988,0.842,1.69,0.8116,0.588,1.0196,1.0995,0.759,0.7896,0.9131,1.3922,0.7204,0.6655,1.0482,1.0744,0.7022,0.7228,1.1405,1.2111,0.7554
"met490",1.0553,1.088,0.8483,1.3254,1.8764,1.755,0.4866,0.7128,0.5423,0.893,0.6237,0.369,1.2415,1.0807,0.2652,0.2765,1.6953,1.2621,0.9805,1.659,1.7573,2.5877,0.6901,1.3521
"met491",0.9298,1.1366,1.467,1.7591,0.9368,0.4841,0.7218,1.2159,0.7743,1.4473,1.3459,1.9378,0.8134,0.5414,0.71,1,0.8054,1.5779,1.0479,1.7129,0.8432,0.6188,0.8421,1.3753
"met492",0.5588,0.983,1.4014,1.6046,0.6367,0.6826,1.3543,1.4629,0.7049,0.8445,1.578,1.1415,0.7366,0.7258,1.2424,1.3532,0.6656,1.017,1.5078,1.0317,0.8792,0.6901,1.1683,1.2535
"met493",0.9486,0.8688,1.3827,1.1393,0.8665,1.391,0.9933,1.1717,0.9526,0.8978,1.4315,1.2145,1.0067,1.2905,0.9574,1.1401,0.9644,0.8481,1.2717,1.2254,0.8983,1.2644,1.0339,1.0869
"met494",1.5298,0.7132,0.7446,1.1403,0.8915,1.2523,0.8596,1.2657,2.1515,0.7205,0.7836,1.1262,0.9366,1.2967,0.8837,1.5503,1.7837,0.9748,0.8863,0.7755,0.6679,1.1323,1.3321,1.1217
"met495",0.4293,1.1657,0.9392,1.1439,1.2406,0.7493,0.5034,1.554,0.4997,1.3156,1.1666,1.5007,1.0939,0.5231,0.4293,0.866,0.4293,1.0608,0.7041,1.2177,1.2663,0.6075,0.6167,0.7954
"met496",1.118,0.8725,0.7105,1.0506,1.0256,0.7305,1.071,1.2333,1.0591,0.8555,0.7828,0.9839,1.0779,0.7949,0.6954,1.0564,0.9503,1.183,0.6723,0.8132,1.2266,0.9372,1.1578,1.2619
"met497",1.2085,0.8781,0.9995,0.9303,1.0016,1.1277,1.0709,1.0691,1.167,0.8726,0.9969,1.0878,1.0005,1.1831,1.0141,0.9694,1.1604,0.8618,0.9591,1.1168,0.9118,1.1857,1.0435,1.0182
"met498",0.9247,1.0059,1.1745,1.2656,1.4897,0.9683,0.7639,1.1831,0.9508,1.046,1.1798,1.41,1.1871,0.9941,0.9447,1.5398,0.8969,1.0914,1.15,1.5685,1.2193,0.9426,0.8261,1.2849
"met499",1.0724,0.8253,0.8891,0.9118,1.0085,1.1524,0.917,0.9915,1.19,1.0163,0.7673,0.9584,0.8535,1.0386,1.0985,1.1659,1.154,0.9167,0.8255,1.0126,0.8746,1.0339,1.0814,1.1664
"met500",0.7933,1.1974,0.9343,1.2396,1,0.5435,0.2809,1.2384,1.1214,1.1242,0.5531,0.2809,1.0665,0.6701,0.7904,1.3697,0.9964,1.2682,1.4907,0.2809,0.9459,0.2809,0.2809,1.4088
"met501",1.0087,0.9477,0.8979,1.0349,1.1293,1.231,0.9913,1.2476,1.1842,1.0304,0.9305,1.2325,1.0318,1.1151,0.9001,1.2016,0.9296,0.8891,0.8838,1.1001,1.0117,1.1271,0.9323,1.1793
"met502",0.7664,0.8474,1.1636,1.6929,1.6249,1.2394,0.4836,1.3366,1.1213,1.0125,0.923,2.2313,1.6994,1.3602,0.5234,1.8468,0.8408,1.3769,1.2587,1.3124,0.9744,0.9875,0.7626,1.1395
"met503",0.8102,1.026,1.1149,0.9897,1.3766,0.904,0.7191,1.1565,0.6613,1.1169,1.1638,1.1106,1.4923,0.8449,0.6952,1.0815,0.8076,1.0312,1.0016,1.1993,1.2744,0.7849,0.734,1.0399
"met504",1.1404,0.9534,1.3988,0.8181,1.0639,1.5256,0.9427,1.1641,1.0021,0.9665,1.365,0.9321,1.098,1.4695,0.9663,1.1511,1.1124,0.9088,1.2577,0.9573,0.9979,1.5562,0.984,1.1743
"met505",1.1218,1.1303,1.134,0.9868,0.7968,1.4115,1.2177,1.0859,0.8522,0.9648,1.0917,0.9388,0.6915,1.3255,1.1408,0.9896,0.9254,1.0818,1.0104,1.0768,0.8361,1.2963,1.3234,1.1107
"met506",1.0017,1.0835,0.9034,0.6825,0.9408,1.1229,0.6028,1.2005,0.9983,0.9941,1.0583,1.2795,1.0449,0.7562,0.7204,1.1738,1.2278,0.9683,0.4111,1.2284,1.0169,1.0612,0.877,1.2933
"met507",2.2424,1.5681,1.0237,0.9763,4.6625,1.5026,0.2907,0.5155,2.1481,1.4908,0.9421,0.9756,4.5664,1.5483,0.2695,0.4598,2.3523,1.6066,1.0259,0.9527,2.8029,1.6123,0.2958,0.5045
"met508",1.0076,0.6444,0.82,1.5516,0.9563,1.7966,1.0897,1.2706,1.2537,0.6856,0.7329,1.7547,0.9924,1.7287,1.1757,1.4719,1.1791,0.7874,0.7808,1.4256,0.7253,1.6395,1.5824,1.1208
"met509",1.1445,1.0614,0.6499,0.7107,1.0517,1.374,0.9874,0.6602,1.1343,1.0987,0.6734,0.8248,0.7406,1.502,1.1499,0.8283,0.9322,1.1376,0.6167,0.8817,0.8619,1.3682,1.0126,0.6842
"met510",1.2914,0.7842,0.5956,0.7736,1,0.416,1.1549,1.2705,1.281,0.8943,0.5463,1.0828,1.0564,0.9035,1.3469,1.2724,1.0306,0.6044,0.416,0.7445,0.6502,0.7007,0.9,1.0744
"met511",1.1173,1.1231,1.0107,0.6993,1.0099,1.559,0.9851,1.8726,0.9094,1.0011,1.0512,0.6926,0.9443,1.5645,0.9379,1.6965,1.022,1.0277,0.9999,0.7795,1.0001,1.629,0.9227,1.9481
"met512",0.9353,0.9944,0.65,0.96,0.9737,1.5293,1.4762,1.1738,1.1361,1.2231,0.7721,0.9505,1.0949,0.8914,0.8817,1.2068,0.5848,0.8476,0.5957,1.0714,1.2419,0.872,1.0154,1.0056
"met513",0.7943,1.116,0.9424,1.1018,1.0558,1.0851,0.9913,1.0771,0.9923,1.3065,1.1577,1.4428,1.1908,1.1125,1.09,1.1023,0.7478,0.9932,0.7464,1.2535,0.9964,1.0683,0.9518,0.9657
"met514",1.5014,1.0086,1.4221,0.8359,5.8395,1.9617,0.8117,0.6801,1.3721,1,1.4096,0.7593,6.1,1.8798,0.833,0.5817,1.7304,0.8602,1.3131,0.7999,6.2661,1.8792,0.7335,0.5778
"met515",1.3059,0.8909,0.9528,1.1052,1.6062,1,0.9357,1.3593,1.0264,1.2324,0.9937,1.6357,1.265,0.9117,0.6177,1.5621,0.8718,1.0066,1.2399,1.0995,1.3765,0.788,0.4206,1.2642
"met516",1.0208,1.5152,0.9929,0.6276,1.0071,1.09,0.7214,1.1492,1.0183,1.5946,0.9311,0.6999,0.8048,1.2901,0.9013,1.2723,0.9035,1.3717,0.8112,0.6927,0.6897,1.0612,0.7698,1.1819
"met517",1.0451,1.2985,0.8654,0.9702,1.3929,1.0149,0.6627,1.3446,1.128,1.2893,0.9033,1.4588,0.9852,1.0366,0.7944,1.5888,0.9719,1.1469,0.7878,1.263,1.1434,0.8167,0.5996,1.267
"met518",1.0813,0.8212,0.7919,0.9803,1.4415,1.2682,0.9912,1.4982,1.0191,0.8437,0.6981,1.6039,1.1154,1.2593,0.999,1.4332,0.9769,0.8262,0.6692,1.3781,0.8861,1.1396,1.0272,1.4376
"met519",0.4022,1.794,1.6719,1.6094,1.9401,0.5655,0.2953,1.2004,0.505,1.789,1.6674,1.8969,1.9236,0.6153,0.2873,1.1496,0.4423,1.8976,1.4943,1.6688,1.8042,0.5998,0.3391,1
"met520",1.031,0.5296,0.7054,0.567,2.9769,1.1399,0.3942,1.3712,0.9908,0.5703,0.6903,1.1111,2.1321,1.1109,0.367,1.2455,1.0983,0.686,0.5935,1.0092,1.4309,1.1538,0.4864,1.5386
"met521",1.1987,1.1854,0.8746,0.9009,1.2134,1.0104,0.6228,1.4097,1.2266,1.5447,0.981,1.2744,0.8738,1.0194,0.6947,1.721,1.0356,1.2555,0.7983,1.3063,0.9896,0.8638,0.6455,1.4474
"met522",0.9548,1.0658,0.9033,1.3317,1.4438,1.0909,0.9529,2.6213,0.9398,1.0159,0.8778,3.2222,1.4694,1.2317,0.9841,2.8878,0.8194,1.0288,0.7608,1.913,1.0691,0.8386,0.7608,1.9298
"met523",1.266,1.0828,1.0157,1.0483,1.2408,1.0083,0.6835,1.0709,1.1263,0.9636,0.9092,1.0762,1.2271,1.0229,0.6253,0.934,1.374,1.1086,0.9662,1.1013,0.9647,1.1259,0.7023,0.9744
"met524",0.8922,1.1682,1.2003,1.4697,1.3821,0.9098,0.8104,1.4215,0.9212,1.2794,1.2913,1.7502,1.3068,0.9856,0.676,1.394,0.6371,1.0144,1.0202,1.2268,1.0752,0.695,0.56,1.1967
"met525",1.4427,0.7325,0.92,0.8338,2.023,1.0718,0.134,1.2787,1.3998,0.7034,0.8585,1.2248,1.5753,1.1299,0.1404,1.2712,1.5489,0.8568,0.8512,1.1097,1.2063,1.1339,0.1515,1.6084
"met526",0.9999,0.9804,1.0004,1.0041,1.1445,1.0813,0.7055,1.112,0.8141,1.0834,0.9716,1.1156,0.9193,1.15,1.0001,1.2025,1.0467,1.0831,0.9571,1.1661,0.9939,1.0859,0.8347,1.2778
"met527",1.1499,1.6868,0.9977,0.745,1.3552,1.0165,0.7371,1.309,1.043,2.0526,0.8857,0.9255,1.0023,1.0141,1.0681,1.4609,0.8872,1.7112,0.9356,1.1042,0.9416,0.8999,0.942,1.1355
"met528",1.098,0.7483,0.8755,1.1367,1.1879,1.0523,0.667,1.3372,1.3316,1.1296,0.8498,1.517,1.1566,0.8823,0.8119,1.3179,0.7762,0.6415,0.6921,1.4842,1.1765,0.9847,1.0153,1.3519
"met529",1.031,0.9007,1.1288,1.2065,1.1997,0.9926,0.7293,1.2717,1.0851,1.0548,0.9798,1.5148,1.0173,1.1428,0.8351,1.2964,0.9953,1.1091,0.9961,1.3726,1.004,0.9421,0.8567,1.167
"met530",1.9472,0.9746,0.9423,1.307,0.3315,0.5059,0.3315,0.9386,2.7528,1.4039,0.9315,1.3112,0.352,0.6014,0.3315,0.6923,1.1743,1.4919,0.6694,0.7482,0.5438,0.9657,0.3315,1
"met531",0.5474,0.9763,1.3012,1.3042,0.9475,0.7504,1.3124,1.1917,1.2356,0.8408,1.5051,1.5127,0.8032,0.709,1.1554,1.127,1.685,0.9822,1.2839,1.4046,0.9014,0.8881,1.0178,1.1725
"met532",1.0603,1.0149,1.2114,1.0932,0.4549,0.8756,0.7453,0.8854,1.2144,1.0648,1.3674,1.1896,0.9577,1.0266,0.7603,0.8702,0.9851,0.9578,1.0802,1.0672,1.1583,0.9812,0.6875,0.4718
"met533",1.5979,0.1527,0.7938,1.4753,0.226,1.0958,0.9115,0.6777,2.0088,1.2913,0.9899,1.0101,1.892,1.1965,0.755,1.1118,1.3449,1.2288,1.1022,0.587,0.7985,1.2453,0.7242,0.4915
"met534",0.8198,0.4963,0.8287,1.1698,1.439,1.2427,1.2647,1.1432,0.7942,0.5179,0.7977,1.2973,1.2243,1.2569,1.4761,1.2916,0.8568,0.5227,0.7785,1.3165,1.2488,1.2564,1.3418,1.3118
"met535",0.6765,1.1124,1.4989,0.9171,0.7753,0.4921,1.4121,1.3433,0.7469,0.9626,1.7697,1.0809,0.6947,0.6269,1.2114,1.0871,1.0273,1.0283,1.6615,1.0174,0.7247,0.6235,0.9509,0.9826
"met536",1.0533,0.9126,0.8946,0.8472,1.0886,1.141,0.9671,1.3142,1.115,1.0563,0.8612,1.0444,0.876,1.23,1.0649,1.4148,1.0283,0.9507,0.8246,1.0197,0.9973,1.0919,0.9879,1.3464
"met537",1.0606,1.3669,0.7962,1.1908,0.8971,0.7771,0.9243,1.0436,1.0872,1.6504,1.0409,1.3658,0.8028,0.7519,1.0337,1.2618,1.2103,1.4399,0.7771,1.3542,0.7241,0.7306,0.9663,1.3571
"met538",1.1573,0.5553,0.755,0.6924,2.387,1.3544,1,1.8135,1,0.5517,0.8012,1.4906,2.0923,1.4161,0.9758,1.8837,0.9989,0.528,0.7745,1.3581,1.2905,1.2639,1.0106,1.9878
"met539",1.1682,0.7891,1.104,1.5288,1.236,1.1068,0.8821,0.9718,1.1057,0.8162,1.035,1.8083,1.1889,1.0405,0.906,0.9063,1.1206,0.8207,1.0282,1.6153,1.2406,1.1319,0.9173,0.9041
"met540",2.5796,0.4048,0.5965,0.7504,4.1091,0.9987,0.4048,3.8309,2.0076,0.4048,0.5618,2.8713,4.0129,0.9356,0.4048,3.6872,1.0013,0.4048,0.4088,1.614,0.787,0.769,0.5031,1.7111
"met541",1.1711,0.7807,0.9,0.9325,1.2818,1.0623,1.1022,1.292,1.2685,0.819,0.7121,0.9675,1.0058,1.0615,0.9343,1.1484,1.1932,0.604,0.8006,0.9942,1.1281,1.1147,0.9453,1.1969
"met542",0.7312,0.2545,0.3476,0.7641,1.5996,1.0697,0.771,2.3259,0.277,0.175,0.1543,1.2378,1.2621,0.6916,0.2443,1.3308,1.0562,0.6847,0.5922,2.9615,1.6875,1.5382,1,4.4446
"met543",0.9785,1.3174,1.0316,0.2785,0.2785,0.2785,0.2785,0.8343,2.131,0.2785,1.6459,1.8491,0.2909,0.4228,0.2785,0.6975,1,1.7131,0.646,0.7482,0.7545,0.2785,0.2785,0.7423
"met544",0.8374,0.6073,0.5642,1.5024,1.0981,0.7965,0.7499,1.071,2.0212,1.2788,0.699,1.8196,1,0.7427,1.0435,0.6955,0.5642,0.9603,0.5642,1.1573,1.0204,0.5642,0.5952,0.5642
"met545",1.142,0.8375,1.0599,1.1456,1.008,1.0426,0.8488,0.9121,1.1856,0.9787,0.9987,2.7928,1.1039,0.9796,0.8404,1.0013,1.2229,0.9893,0.9739,1.0931,0.9324,2.4418,1.0338,0.9479
"met546",1.2113,0.8059,0.0865,1.0038,1.0747,2.2754,1.98,0.64,1.267,0.8213,0.1297,0.9596,1.1188,2.5287,1.7404,0.5732,1.2969,0.8996,0.0803,0.9962,1.2179,2.5949,1.9564,0.5465
"met547",0.8604,1.0519,1.2009,0.9906,1.0344,1.0615,0.4895,0.9173,0.7374,1.0661,1.1573,1.1857,1.1133,1.1535,0.4367,0.8917,0.8394,1.0088,1.0501,1.124,0.9912,1.0886,0.5646,0.869
"met548",0.9607,1.0662,1.122,1.1598,1.0721,1.1468,0.9877,0.9512,0.8362,0.9845,1.0412,1.1816,1.137,1.1739,1.0476,0.9516,0.9302,1.0064,1.1124,1.1245,0.9937,1.0442,1.011,0.9352
"met549",0.8961,0.8258,1.087,1.1443,0.9033,0.5088,1.1325,0.5996,1.8476,1.5027,1.0485,1.4178,0.939,0.8178,1.2725,0.7867,0.8257,1.2616,0.9213,1.1495,0.7836,1.1172,1.445,0.5131
"met550",2.3949,1.4667,1.1954,1.3103,1.3425,0.6183,0.0904,1.1301,1.6842,2.0336,0.5818,1.5597,1.1702,1.3999,0.1169,0.9839,1.6849,1.7993,0.8035,1.1486,0.9362,0.7621,0.0974,1.0161
"met551",0.8769,0.6108,1.1174,0.8016,0.654,0.9795,1.2697,1.1906,1.3804,0.8224,0.9412,0.9872,0.6217,1.1523,1.3041,1.0123,0.9215,0.8035,1.0129,0.9877,0.7238,1.0136,1.5051,1.0619
"met552",0.8548,1.1242,1.2027,1.3031,1.1219,0.9086,0.9679,0.9892,1.6633,1.3319,1.1252,1.6735,0.9229,0.9401,0.8991,0.7712,0.7174,1.3748,1.0377,1.2862,0.9631,1.0361,1.0646,0.8816
"met553",0.9366,1.5316,1.3864,1.4117,1.9901,0.6397,0.642,1.0695,1.0455,1.2989,1.5742,1.6404,1.859,0.6901,0.5951,0.9483,1.1062,1.3597,1.4452,1.6229,1.9597,0.8475,0.5772,0.8944
"met554",0.8707,1.166,1.1323,1.1062,1.0042,0.5774,0.9958,1.0965,0.9102,1.1351,1.3132,1.3555,0.9578,0.6434,0.8666,0.9678,1.0988,1.1555,1.2235,1.2011,0.9078,0.6463,0.7281,0.9661
"met555",2.2509,1.1159,1.4133,1.1766,0.811,0.4901,0.0616,1.0439,1.7141,1.5113,0.8841,1.382,0.6822,1.1741,0.103,0.9561,1.4092,1.4652,0.9488,0.7686,0.6231,0.7718,0.0366,0.9554
"met556",0.9116,1.0205,1.2442,0.9685,1.3855,0.1796,0.6702,1.1952,0.833,1.0177,1.38,1.0845,1.6177,0.3271,0.5291,0.8808,1.0494,0.9595,1.4197,0.9823,1.1735,0.6137,0.6024,0.911
"met557",1.1151,1.2344,1.0033,0.8183,1.1671,1.0847,0.1251,1.1477,1.8838,1.1083,0.9935,1.0631,0.9968,1.2935,0.1329,0.8283,1.2747,1.2376,1.1562,0.8828,0.8011,1.2762,0.123,0.9577
"met558",0.7035,1.1443,1.0463,1.2797,1.3948,0.8401,1.0833,0.677,0.6917,1.0875,0.9411,1.5851,1.4048,0.8731,1.0425,0.6451,0.7167,1.1517,0.9575,1.4432,1.2316,0.8229,1.1001,0.6313
"met559",0.9844,0.7401,0.941,0.5888,1.3893,1.235,0.8302,0.8955,1.0287,1.1107,0.875,0.996,0.9391,1.2487,0.6376,1.0079,1.0564,0.9038,0.9687,1.0593,1.3299,1.004,0.7078,1.0734
"met560",1.0497,1.4836,0.9957,1.097,0.5783,0.8665,1.2835,0.7935,1.0043,1.7144,0.9276,1.0861,0.6184,0.7548,1.2996,1.0418,1.062,1.7676,0.8704,1.0304,0.7236,0.8696,1.7407,0.9126
"met561",0.6859,1.0003,0.9405,1.1563,1.052,0.8865,1.3497,0.9815,0.4812,0.9633,0.9353,0.9997,0.9076,1.0131,1.4035,0.9815,0.7914,1.0945,1.0577,0.9605,0.8882,1.1475,1.2695,0.9619
"met562",1.1802,0.6738,0.7159,0.6207,0.5809,0.8525,1.1318,1.2733,1.6484,0.747,0.6002,0.8346,0.5624,1.0253,1.1333,1.1044,1.2358,0.7019,0.6712,0.669,0.5704,0.9684,1.1973,1.1575
"met563",1.314,0.9626,1.0469,1.1298,1.1469,0.775,0.9304,0.6525,2.1359,1,0.8508,1.4458,1,0.9506,0.901,0.601,1.4012,1.1101,0.9807,1.1269,1.1731,0.8821,1.1982,0.6044
"met564",1.196,1.0063,1.0423,0.9217,1.3361,1.0355,0.7064,1.1014,1.1018,1.0583,0.8787,0.9969,1.3137,1.054,0.6638,0.952,1.3172,1.0031,1.0403,0.7552,1.0615,0.8705,0.5979,0.994
"met565",1.1638,1.096,0.7883,0.9733,1.5204,1.0929,0.7205,1.0267,1.1704,0.927,0.8382,1.1334,1.2853,1.0689,0.5696,1.0499,1.168,0.9502,0.7679,1.036,1.2988,1.3141,0.5691,0.8458
"met566",0.6699,1.0264,1.2157,0.803,0.7307,0.8666,1.2225,1.0867,0.6974,1.0259,1.2784,0.9775,0.7462,0.9971,1.0935,0.9772,0.8797,1.0029,1.2032,0.8224,0.7247,1.0744,0.8949,1.0103
"met567",0.2562,0.742,1.4608,1.1464,0.4658,1.112,1.1177,0.5427,0.399,1.1297,2.8193,1.7887,0.7544,1.5631,1.084,0.8431,0.5341,0.933,2.6934,1.2825,0.6247,1.7696,1.5893,1.5779
"met568",1.272,0.9783,1.0114,1.0268,1.7097,1.0255,1.0142,0.827,1.2142,1.0016,1.0299,1.3587,1.8054,0.9984,0.8219,0.7535,1.4178,0.9423,0.8969,1.0775,1.4986,1.0803,0.7728,0.6507
"met569",1.3829,1.0566,0.9192,1.1484,1.9435,1.1406,1.0603,0.8731,1.3798,1.0478,0.9522,1.522,1.9121,1.131,0.9308,0.7742,1.4293,0.944,0.8752,1.2597,1.8036,1.2271,0.7972,0.6786
"met570",1.2405,1.0952,1.0168,1.138,1.9071,0.9622,0.8231,0.8076,1.236,1.1045,1.1154,1.2484,1.8623,1,0.7761,0.6564,1.504,0.9184,0.8787,1.0389,1.6413,1.0631,0.7117,0.5685
"met571",1.3663,1.1853,0.8949,1.0732,2.9303,0.889,1,0.8085,1.92,1.027,1.5492,1.4676,2.0167,1.4141,0.8497,0.791,2.2611,0.8865,1.3935,1.2462,2.4635,0.9476,0.6452,0.7821
"met572",1.099,0.6856,0.955,0.8252,2.2472,0.8184,8.7497,1.2211,0.9609,0.9668,1,0.9301,1.744,0.7617,9.5094,1.1141,1.0323,0.6843,0.802,0.8199,1.7886,0.7967,9.5459,1.1946
"met573",0.2632,0.2632,0.3669,1.0516,0.8321,0.7621,5.2734,2.1996,0.8123,0.7337,0.8466,1.1515,1.9655,0.9471,7.4929,1.6856,0.9485,0.2632,0.425,1.3313,1.7921,1.6163,6.4009,2.9886
"met574",0.8266,1.3855,1.3254,1.3746,0.9502,1.0238,1.1086,0.8045,0.831,1.3528,1.2908,1.3897,0.9769,1.1113,1.1034,0.774,0.7609,1.3269,1.1928,1.3558,0.9227,1.0271,1.0231,0.7264
"met575",0.7423,0.8001,0.7025,1.0433,1.3646,1.0189,1.008,0.9987,0.7828,0.8402,0.7651,1.1717,1.176,1.0139,0.9092,0.9425,0.7197,0.8087,0.6601,1.0268,1.2735,1.06,1.0317,0.984
"met576",0.9289,0.8998,0.9549,1.1098,1.6348,1.1689,0.7522,2.4224,0.9094,1.0451,1.0929,1.7026,1.5153,1.1979,0.7354,1.9897,0.8791,0.8825,0.868,1.4814,1.5731,1.2412,0.7886,2.4094
"met577",0.8987,0.8509,0.9773,0.9838,1.4596,1.0575,1.0103,1.3989,0.9082,1.0174,0.9698,1.5657,1.0659,1.0655,1.0473,1.5425,0.8256,0.9879,0.8729,1.5672,0.9947,1.0746,1.161,1.4327
"met578",0.9305,0.6932,0.5981,0.9203,1.0314,1.0219,0.8485,0.7686,0.9399,0.7193,0.59,0.92,0.9166,0.9781,0.8147,0.6331,1.5214,1.233,1.0443,1.8541,2.2085,2.3484,2.1864,1.5453
"met579",1.1104,0.6543,0.8253,0.6683,0.7101,0.8811,1.0249,1.1694,1.4425,0.7546,0.644,0.7795,0.6517,1.1002,1.0567,1.0391,1.1851,0.7013,0.7799,0.7301,0.6392,0.9751,1.0798,1.0602
"met580",1.7413,0.5697,0.6942,0.7417,0.5359,0.6762,1.1646,1.6761,2.6899,0.8156,0.6956,1.0609,0.5155,0.9944,1.0056,1.333,1.3501,0.8007,0.5154,0.4501,0.7091,1.0276,1.0643,1.4938
