"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met295",1.1792,0.8353,0.9625,0.8763,1.1016,1.0627,1.0061,0.9469,1.3541,1.0063,1.0663,1.2627,1.1481,1.196,1.0273,1.023,1.0055,0.6625,0.6363,0.8332,0.735,0.9385,0.8029,0.7856
"met296",2.3378,0.7843,0.6889,0.8791,2.7586,1.0585,1.6298,0.7108,2.7578,0.9817,0.6641,0.9485,1.9963,1.0931,1.9729,0.7544,2.447,1.0183,0.6552,1.1488,2.3184,1.0508,1.7185,0.9331
"met297",1.0641,0.7015,0.8502,0.7777,0.9931,1.0406,1.1177,1.3431,1.236,0.7478,0.8449,0.7884,0.8635,1.0708,1.2248,1.4022,1.1506,0.8137,0.8335,0.8478,0.9075,1.0392,1.2129,1.5898
"met298",1.1401,1.171,1.2791,1.3002,1.0144,0.8631,0.8885,1.0247,0.9894,1.1775,1.292,1.3519,0.9805,1.0076,0.8143,0.8722,0.9779,1.2772,1.252,1.2923,0.9859,1.0595,0.7797,0.9924
"met299",3.913,0.5883,0.9849,1.0151,7.2884,0.6048,0.383,4.6211,2.4488,0.6828,0.6586,2.8477,6.0554,0.756,0.383,4.1363,2.2755,0.6455,0.8985,2.2447,2.5534,0.5467,0.4087,3.4449
"met300",4.4815,0.2864,0.1445,0.5888,1.2561,0.3634,0.4047,3.5954,4.472,0.393,0.1445,0.8307,1,0.409,0.4621,3.6063,3.7449,0.4466,0.1445,0.8513,1.2899,0.3847,0.5354,4.2284
"met301",2.5498,0.5928,0.3618,0.6875,1.8032,0.6038,0.6096,1.1248,2.5296,0.9501,0.2889,0.8988,1.1339,0.5404,0.7822,1.5031,1.9686,0.8423,0.3212,1,1.6536,0.5428,0.8739,1.3299
"met302",1.3955,0.5345,0.7957,1.3722,0.9672,1.0175,0.9175,1.0737,1.4646,0.6036,0.8109,1.8924,0.9428,1.0165,0.9835,1.0854,1.4894,0.5374,0.7806,1.6477,0.8376,0.9607,0.9456,1.0643
"met303",1.8179,1.1682,0.5837,0.6078,0.7521,0.9823,0.4488,1.0177,1.0383,0.8274,0.1983,0.5746,0.5975,0.5886,0.0833,0.6403,2.6693,1.5744,0.9137,1.4929,1.1322,1.292,1.5668,1.3477
"met304",1.0865,0.9039,1.0598,0.9945,0.9149,1.1418,0.9381,1.0421,1.0914,0.9143,1.0122,1.0389,0.9435,1.1437,0.9166,1.0118,1.0954,0.9385,1.0344,1.0055,0.9078,1.173,0.9472,1.0201
"met305",1.3717,1.0419,1.0073,0.9843,0.7013,0.9003,1.0053,0.9947,1.4407,1.1276,0.9384,1.0983,0.6778,0.9789,1.0335,0.9572,1.3898,1.1256,0.9163,1.0147,0.5977,0.936,1.0761,0.9377
"met306",1.3842,1.5128,0.9604,0.8466,0.941,0.9722,1.6114,0.9868,1.4118,1.3831,0.8191,0.7679,0.8138,0.9042,1.4992,0.9535,1.3475,1.5434,1.2794,0.6365,1.0132,1.0317,1.34,0.9143
